OrderID,OrderDate,CustomerID,ProductID,Quantity
1,4/2/2014,17,41,1
2,4/2/2014,15,54,2
3,4/5/2014,5,71,2
4,4/5/2014,19,3,2
5,4/5/2014,12,45,3
6,4/6/2014,6,94,2
7,4/6/2014,5,35,2
8,,16,93,1
9,4/10/2014,4,93,3
10,4/10/2014,2,61,2
11,4/11/2014,2,24,1
12,4/15/2014,8,23,1
13,4/15/2014,12,24,2
14,4/16/2014,4,94,3
15,4/16/2014,16,20,2
16,4/17/2014,2,,3
17,4/17/2014,19,84,1
18,4/17/2014,9,89,2
19,,20,21,3
20,4/19/2014,1,,1
21,4/19/2014,8,57,3
22,4/21/2014,4,70,2
23,4/21/2014,17,24,1
24,4/21/2014,14,23,2
25,4/22/2014,12,52,1
26,4/22/2014,17,84,2
27,4/23/2014,10,,1
28,4/23/2014,10,33,3
29,,5,73,2
30,4/24/2014,2,5,1
31,4/25/2014,11,79,2
32,4/29/2014,20,44,1
33,4/29/2014,9,64,1
34,4/30/2014,18,10,2
35,4/30/2014,1,87,1
36,5/1/2014,2,37,2
37,5/2/2014,3,23,3
38,5/2/2014,8,37,3
39,5/3/2014,10,30,3
40,5/5/2014,19,83,2
41,5/5/2014,13,19,2
42,5/5/2014,10,27,2
43,5/6/2014,5,87,3
44,5/6/2014,1,19,2
45,5/6/2014,9,23,2
46,5/6/2014,6,28,2
47,5/6/2014,14,47,3
48,5/7/2014,18,58,1
49,5/7/2014,15,13,3
50,5/7/2014,19,91,2
51,5/7/2014,5,67,2
52,5/10/2014,10,25,3
53,5/12/2014,8,51,3
54,5/12/2014,5,24,2
55,5/13/2014,14,8,3
56,5/13/2014,16,70,3
57,5/15/2014,19,41,2
58,5/17/2014,19,42,1
59,5/17/2014,13,93,2
60,5/17/2014,13,42,2
61,5/18/2014,1,18,3
62,5/18/2014,2,59,1
63,5/18/2014,7,19,2
64,5/19/2014,1,73,2
65,5/20/2014,6,83,1
66,5/20/2014,3,74,1
67,5/22/2014,5,70,2
68,5/22/2014,6,84,3
69,5/22/2014,2,48,2
70,5/24/2014,14,65,1
71,,19,30,1
